iter	Logloss
0	0.6016506331
1	0.5513955137
2	0.5173057813
3	0.4975921656
4	0.4842899724
5	0.4768489083
6	0.4700938682
7	0.4638514215
8	0.4599327593
9	0.4578248946
10	0.4548071174
11	0.4528502382
12	0.4508464005
13	0.4492796302
14	0.4480384434
15	0.4468903966
16	0.4461097925
17	0.4451055977
18	0.4441206606
19	0.4426771414
20	0.4420768418
21	0.4414960872
22	0.4409410704
23	0.4404968315
24	0.4401587124
25	0.4396548685
26	0.4385966348
27	0.4381969153
28	0.4378827444
29	0.4371900912
30	0.4367074547
31	0.4364095464
32	0.4360502038
33	0.435754535
34	0.4353363012
35	0.4351195141
36	0.4348421021
37	0.4344491024
38	0.4341357929
39	0.4337992552
40	0.4335174275
41	0.43324364
42	0.4329801449
43	0.4322283548
44	0.4320723639
45	0.4317868737
46	0.431642933
47	0.4312742967
48	0.4309924296
49	0.4308461078
50	0.4305708328
51	0.4302281511
52	0.4300364932
53	0.4299051578
54	0.4298137835
55	0.4297197979
56	0.4295823536
57	0.4294709744
58	0.4293993346
59	0.4292810251
60	0.4289761065
61	0.4287207909
62	0.4286476729
63	0.4285798675
64	0.4284216257
65	0.4283499691
66	0.4282945737
67	0.4281289949
68	0.4279124509
69	0.4277091038
70	0.4275821741
71	0.427535846
72	0.427439043
73	0.4273726534
74	0.4272337882
75	0.427213375
76	0.42700726
77	0.4268370284
78	0.4266674153
79	0.4266139716
80	0.4263403164
81	0.4261400142
82	0.4259726643
83	0.4257047548
84	0.4255361236
85	0.425395813
86	0.4252855178
87	0.4251856145
88	0.4251186307
89	0.4250378483
90	0.425000907
91	0.424960412
92	0.4248868153
93	0.4248316715
94	0.4247181739
95	0.4244903282
96	0.424393344
97	0.4243279793
98	0.4242240266
99	0.4240831811
100	0.4239278056
101	0.4236958846
102	0.4235872873
103	0.423504908
104	0.4234382899
105	0.4233860709
106	0.4233719912
107	0.4233444698
108	0.4233182295
109	0.4231779526
110	0.4231304297
111	0.4230754661
112	0.4230284281
113	0.4229440964
114	0.4228579144
115	0.4228167014
116	0.4227413634
117	0.4226973881
118	0.4226290253
119	0.4224816837
120	0.4224093288
121	0.4221649572
122	0.4221014357
123	0.4220470274
124	0.4219678953
125	0.4218888468
126	0.4218221035
127	0.4217416271
128	0.4216416902
129	0.4215832526
130	0.4215337249
131	0.4214823694
132	0.4214616116
133	0.4214015314
134	0.4213479614
135	0.4211669714
136	0.4210509517
137	0.4210019679
138	0.4208758406
139	0.4208151596
140	0.420743456
141	0.4206263272
142	0.4205822837
143	0.4205286897
144	0.4204742778
145	0.4204141108
146	0.4203636273
147	0.4203036213
148	0.4201557813
149	0.4201112772
150	0.4200688926
151	0.420025677
152	0.4199760281
153	0.4199471454
154	0.419783525
155	0.4197588302
156	0.4197312131
157	0.4196982505
158	0.4195874735
159	0.4195102377
160	0.4194100538
161	0.4193177446
162	0.4191999766
163	0.4191012738
164	0.4190194373
165	0.4189724233
166	0.4189314365
167	0.4189091084
168	0.4188389657
169	0.4187775957
170	0.4187475402
171	0.4186855238
172	0.4186343417
173	0.418513325
174	0.4184321849
175	0.4183587439
176	0.4183249229
177	0.4182433371
178	0.4181903213
179	0.4181398375
180	0.4181203835
181	0.4180686954
182	0.4180362413
183	0.417951334
184	0.4179073118
185	0.4178632931
186	0.4178283987
187	0.4177987958
188	0.4177551159
189	0.4177036665
190	0.4176438518
191	0.4174813317
192	0.4174019578
193	0.4173130821
194	0.4172743923
195	0.4172391209
196	0.4171920348
197	0.4171449323
198	0.4170580997
199	0.4170097292
