iter	Logloss
0	0.6646300176
1	0.6457273413
2	0.6319647767
3	0.6203552436
4	0.6127158229
5	0.6053359536
6	0.5994903258
7	0.5956848672
8	0.5917963386
9	0.5886770919
10	0.5866420738
11	0.5849724776
12	0.5835422844
13	0.5822497168
14	0.5809202952
15	0.5802887366
16	0.5797493895
17	0.5793563652
18	0.5787470809
19	0.5780559338
20	0.5777790236
21	0.5771463617
22	0.5768653744
23	0.5766087668
24	0.5762105333
25	0.5760065399
26	0.5755039052
27	0.5753186269
28	0.5750537905
29	0.5748675257
30	0.5747482617
31	0.5745912035
32	0.5744779464
33	0.5743426809
34	0.5742161226
35	0.5741521001
36	0.5740304177
37	0.5739558746
38	0.5738367257
39	0.5737625472
40	0.5736840444
41	0.5736062946
42	0.5734355227
43	0.5733496085
44	0.573268776
45	0.5732008404
46	0.5730852711
47	0.5726082554
48	0.5725573515
49	0.572484066
50	0.5724396872
51	0.572253286
52	0.5721581034
53	0.5720951002
54	0.5720299332
55	0.5719049124
56	0.5718533605
57	0.5718188538
58	0.5717648688
59	0.5717094959
60	0.5716424828
61	0.571453092
62	0.5713691683
63	0.5712951767
64	0.5712150559
65	0.5711741843
66	0.5711447811
67	0.5710874451
68	0.5710106675
69	0.5709147708
70	0.5708946287
71	0.570824667
72	0.5707757947
73	0.5707411497
74	0.5706780313
75	0.5706214885
76	0.5706053375
77	0.5705568094
78	0.5705106644
79	0.5704638228
80	0.5704283833
81	0.5703894555
82	0.5703461826
83	0.5702905247
84	0.5702159255
85	0.5701717399
86	0.5700823206
87	0.5700446416
88	0.5700114391
89	0.5699738467
90	0.5699064389
91	0.5698191019
92	0.5697267731
93	0.5696987302
94	0.5696651331
95	0.5696179695
96	0.5695718868
97	0.569515202
98	0.5694730817
99	0.5694178556
100	0.5693341645
101	0.5693137252
102	0.5692191743
103	0.5691900988
104	0.5691585914
105	0.5691436867
106	0.569084445
107	0.5690595068
108	0.5690326213
109	0.5689888695
110	0.5689681584
111	0.5689194433
112	0.5688503683
113	0.5688227858
114	0.5687911848
115	0.56876199
116	0.5687296222
117	0.5686813364
118	0.5686481024
119	0.5686092471
120	0.5685374707
121	0.5684988372
122	0.5684686576
123	0.5684206549
124	0.5683861923
125	0.5683615934
126	0.5683251426
127	0.5682894219
128	0.5682091961
129	0.5681832477
130	0.568139932
131	0.5681070594
132	0.5680513289
133	0.5680246828
134	0.5679315412
135	0.5678912591
136	0.5678476683
137	0.5678243315
138	0.5678020659
139	0.5677646333
140	0.5676989929
141	0.5676586856
142	0.5676156202
143	0.5675114498
144	0.5674900056
145	0.5674649467
146	0.567373349
147	0.5673428151
148	0.5673114841
149	0.5672460032
150	0.5672136842
151	0.5671612308
152	0.5671302709
153	0.5670873632
154	0.5670245877
155	0.5669553621
156	0.5668900803
157	0.566838549
158	0.5668141267
159	0.5667850581
160	0.5667101539
161	0.5666747015
162	0.5666032739
163	0.5665789363
164	0.5665292638
165	0.5664964366
166	0.5664506651
167	0.5663775479
168	0.5663159917
169	0.5662742156
170	0.5662000655
171	0.5661016614
172	0.5660252121
173	0.5658881048
174	0.5657410389
175	0.5656033652
176	0.5654359916
177	0.5653621648
178	0.5652322502
179	0.5651249008
180	0.5650656586
181	0.5649471782
182	0.5648406411
183	0.564779252
184	0.5646855359
185	0.564592802
186	0.5645361368
187	0.5644158448
188	0.5643426109
189	0.5642797018
190	0.5641900059
191	0.5641281423
192	0.5640601894
193	0.5639661078
194	0.5639056246
195	0.5637747236
196	0.5637144326
197	0.5636540397
198	0.5635786941
199	0.5634836179
